Student,ID,SIS User ID,SIS Login ID,Section,March-01 (1139),Sign up for Piazza (1231),Sign up for a GitHub account (1233),Create your TIL blog (1173),Reading: How To Get Startup Ideas (1229),Sign up for Treehouse (1232),Check out the Canvas calendar (1172),First steps & RPS HTML (1196),RPS CSS (1228),Find a domain name that you like (1195),Finalize your domain name (1194),Enable Pushing to GitHub from Gitpod (1180),Link in Bio (1205),Mac tips & tricks (1207),Data model: Yap (1176),Overview of Treehouse's Learn Ruby Track (1210),1: Ruby Basics (1165),2: Ruby Collections (1166),3: Ruby Loops (1167),[Optional] More Ruby basics at Codecademy (1241),4: Ruby Objects and Classes (1168),"[Optional] Codecademy Ruby ""Stretch Goals"" (1240)",Exercism.org (1181),Data model: Todo List (1174),"[Optional] Treehouse Ruby ""Stretch Goals"" (1242)","Final Project Ideas, Round 1 (1193)",Intro to Ruby (1202),Program notes (1226),"Nouns, verbs, and grammar (1208)",String (1235),Integer (1200),Integer Project (1201),Float (1197),Date Project (1178),Date (1177),Array (1171),If statements (1199),Loops (1206),Each (1179),Hash (1198),Our own classes (1209),Ruby Conclusions and Gym (1230),Some more Ruby methods (1234),Data model: Very Best (1175),QR Code Generator 1 (1227),Umbrella (Intro to APIs) (1238),March-02 (1246),March-03 (1248),March-06 (1252),March-07 (1267),March-08 (1271),March-09 (1275),March-10 (1276),March-13 (1279),Reading: Rubber duck debugging (1280),March-14 (1281),March-15 (1282),March-16 (1289),March-17 (1290),Setup a Password Manager (1292),March-20 (1296),March-21 (1297),March-22 (1298),111: Refactoring MSM Queries (1301),March-23 (1302),March-24 (1307),"Part 1: Nouns, Verbs, & Grammar (1215)",Part 2: A few program notes (1216),Part 3: String (1219),Part 4: Integer (1220),Part 5: Float (1221),Part 6: Date (1222),Part 7: Array (1223),Part 8: If statements (1224),Part 9: Loops (1225),Part 10: Each (1211),Part 11: Hash (1212),Part 12: Our own classes (1213),Part 13: Glance over The One Ruby Reference (1214),101: RPS RCAV (1144),102: Fortune Teller (1145),103: Omnicalc 1 (1146),107: Refactoring Fortune Teller with Dynamic Routes (1150),108: Dashboards (1151),109: MSM Queries (1152),110: Classroom Queries Debug (1153),115: Different Ruby Styles (1154),120: MSM Validations (1155),125: Photogram GUI (1156),130: Very Best Debug (1157),135: Build a resource from scratch (1158),140: Reading — draft:resource generator (1159),Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Ruby foundations Current Points,Ruby foundations Final Points,Ruby foundations Current Score,Ruby foundations Unposted Current Score,Ruby foundations Final Score,Ruby foundations Unposted Final Score,Ruby enrichment Current Points,Ruby enrichment Final Points,Ruby enrichment Current Score,Ruby enrichment Unposted Current Score,Ruby enrichment Final Score,Ruby enrichment Unposted Final Score,Phase 1: Ruby on Rails Current Points,Phase 1: Ruby on Rails Final Points,Phase 1: Ruby on Rails Current Score,Phase 1: Ruby on Rails Unposted Current Score,Phase 1: Ruby on Rails Final Score,Phase 1: Ruby on Rails Unposted Final Score,Current Points,Final Points,Current Score,Unposted Current Score,Final Score,Unposted Final Score
    Points Possible,,,,,0,0,5,5,0,5,0,20,0,5,0,5,20,0,0,0,5,5,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,2,2,2,3,3,5,5,5,5,0,10,10,10,10,5,10,5,0,0,10,5,0,0,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
Jeff,362,,,PTTL-2022-1-Sample-Cohort,,,5,5,,5,,20,0,,,5,,0,,,5,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,3,5,5,0,,,,,,,,,,,,,,,,60,60,100,100,63.16,63.16,25,25,83.33,83.33,71.43,71.43,0,0,,,,,0,0,,,0,0,85,85,94.44,94.44,41.46,41.46
Lasandra Spencer,513,,,PTTL-2022-1-Sample-Cohort,,,5,5,,5,,20,0,,,5,20,,,,5,5,5,,5,,,,,5,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,3,5,5,5,,,,,,,,,,,,,,,,85,85,100,100,89.47,89.47,35,35,100,100,100,100,0,0,,,,,45,45,100,100,60,60,165,165,100,100,80.49,80.49
Marguerite Turcotte,393,,,PTTL-2022-1-Sample-Cohort,,,,,,5,,20,0,,,,20,0,,,5,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,3,,,,,,,,,,,,,,,,,,,65,65,100,100,68.42,68.42,35,35,100,100,100,100,0,0,,,,,0,0,0,0,0,0,100,100,90.91,90.91,48.78,48.78
Josiah Ernser,356,,basil_parker@bashirian.name,PTTL-2022-1-Sample-Cohort,,,,,,5,,20,0,,,,20,0,,,5,5,5,,5,,,,,5,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,3,5,5,5,,,,,,,,,,,,,,,,70,70,100,100,73.68,73.68,35,35,100,100,100,100,0,0,,,,,10,10,50,50,13.33,13.33,115,115,92,92,56.1,56.1
Andres Fadel,392,,ahmad_berge@shanahan-brown.net,PTTL-2022-1-Sample-Cohort,,,5,,,5,,20,0,,,,,,,,5,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,0,,,,,,,,,,,,,,,,,,,,50,50,100,100,52.63,52.63,9,9,75,75,25.71,25.71,0,0,,,,,0,0,,,0,0,59,59,95.16,95.16,28.78,28.78
Cruz Armstrong,514,,bonita@kub-schulist.biz,PTTL-2022-1-Sample-Cohort,,,5,,,5,,20,0,,,5,20,0,,,5,5,5,,5,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,3,5,5,5,,,,,,,,,,,,,,,,80,80,100,100,84.21,84.21,35,35,100,100,100,100,0,0,,,,,0,0,,,0,0,115,115,100,100,56.1,56.1
Malcom Ziemann,452,,eugenio_nikolaus@damore.com,PTTL-2022-1-Sample-Cohort,,,,,,5,,20,0,,,,20,,,,5,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,3,5,5,0,,,,,,,,,,,,,,,,65,65,100,100,68.42,68.42,25,25,83.33,83.33,71.43,71.43,0,0,,,,,0,0,,,0,0,90,90,94.74,94.74,43.9,43.9
Darcy Hilll,360,,randee_becker@padberg.net,PTTL-2022-1-Sample-Cohort,,,5,5,,5,,20,0,,,5,20,0,,,5,5,5,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,3,,,,,,,,,,,,,,,,,,,85,85,100,100,89.47,89.47,33,33,94.29,94.29,94.29,94.29,0,0,,,,,0,0,,,0,0,118,118,98.33,98.33,57.56,57.56
Janean Dach,458,,titus.kris@ritchie.biz,PTTL-2022-1-Sample-Cohort,,,5,,,5,,20,0,,,5,20,,,,5,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,3,,,,,,,,,,,,,,,,,,,75,75,100,100,78.95,78.95,34,34,97.14,97.14,97.14,97.14,0,0,,,,,0,0,,,0,0,109,109,99.09,99.09,53.17,53.17
Napoleon Carter,388,,niki@gottlieb-daugherty.co,PTTL-2022-1-Sample-Cohort,,,,,,5,,20,0,,,,20,0,,,5,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,3,,,,,,,,,,,,,,,,,,,65,65,100,100,68.42,68.42,30,30,85.71,85.71,85.71,85.71,0,0,,,,,0,0,,,0,0,95,95,95,95,46.34,46.34
Marivel Ullrich II,515,,quinton@bernhard.net,PTTL-2022-1-Sample-Cohort,,,,,,5,,20,0,,,,20,0,,,5,5,5,,5,,,,,5,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,3,,,,,,,,,,,,,,,,,,,70,70,100,100,73.68,73.68,35,35,100,100,100,100,0,0,,,,,40,40,88.89,88.89,53.33,53.33,145,145,96.67,96.67,70.73,70.73
Micaela Fritsch,391,,jerrie.beer@schoen.net,PTTL-2022-1-Sample-Cohort,,,5,5,,5,,20,0,,,5,20,,,,5,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,80,80,100,100,84.21,84.21,35,35,100,100,100,100,0,0,,,,,0,0,,,0,0,115,115,100,100,56.1,56.1
Gina Hayes,516,,tanner@huel.name,PTTL-2022-1-Sample-Cohort,,,5,5,,5,,20,0,,,,,,,,5,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,3,,,,,,,,,,,,,,,,,,,55,55,100,100,57.89,57.89,28.75,28.75,95.83,95.83,82.14,82.14,0,0,,,,,0,0,,,0,0,83.75,83.75,98.53,98.53,40.85,40.85
Von Bayer,517,,mikel@harvey.org,PTTL-2022-1-Sample-Cohort,,,5,5,,5,,20,0,,,5,20,0,,,5,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,80,80,100,100,84.21,84.21,35,35,100,100,100,100,0,0,,,,,0,0,,,0,0,115,115,100,100,56.1,56.1
