Name,ID From Canvas,Email,Role
Jeff Morar,362,jeff@morar.io,student
Lasandra Spencer,513,gail_thiel@padberg-dickens.info,student
Marguerite Turcotte,393,lorena@hills-beer.info,student
Josiah Ernser,356,basil_parker@bashirian.name,student
Andres Fadel,392,ahmad_berge@shanahan-brown.net,student
Cruz Armstrong,514,bonita@kub-schulist.biz,student
Malcom Ziemann,452,eugenio_nikolaus@damore.com,student
Darcy Hilll,360,randee_becker@padberg.net,student
Janean Dach,458,titus.kris@ritchie.biz,student
Napoleon Carter,388,niki@gottlieb-daugherty.co,student
Marivel Ullrich II,515,quinton@bernhard.net,student
Micaela Fritsch,391,jerrie.beer@schoen.net,student
Gina Hayes,516,tanner@huel.name,student
Von Bayer,517,mikel@harvey.org,student
Winford Hilpert,520,marvis@jaskolski.com,student
Caren Reichel,460,maya.marquardt@christiansen-christiansen.net,student
Sage Walter Jr.,422,jayne.pacocha@turner.net,student
Dwana Paucek,454,louise@pacocha.biz,student
Mandi Schoen,399,myles.rodriguez@koelpin.name,student
Darnell Haley,387,richelle@rice.name,student
Graham Towne,355,sammie@jacobs.biz,student
Shondra Gerlach,456,particia.damore@carroll-wehner.biz,student
Coletta Barrows,375,karri@kuhic-mckenzie.net,student
Marleen Heidenreich,343,kathy@kutch.io,student
Jeni Kuhic,518,alyce@raynor.net,student
Dee Smith,403,frankie.lehner@dietrich.name,student
Anamaria Keebler,522,jayme_breitenberg@botsford.info,student
Man Effertz,11,maida.barrows@reichert-kshlerin.biz,student
Angelo Kihn,12,marylynn@heller.org,student
Zack Lueilwitz,13,lance@torp-macgyver.biz,student
Edmundo Nader,14,simonne.larkin@ohara.io,student
Letisha Botsford,15,raymon@bahringer.name,student
Rachele Funk,16,kara_bechtelar@lehner.com,student
Leia Thiel,17,jordan.lynch@hayes-beahan.info,student
Mozell Jaskolski,18,max@mueller.io,student
Evette D'Amore,19,ella_conroy@balistreri.info,student
